LncRNA name	Synonyms	geneid	ensg_name	refseq_id	position	cancer type	ICD-0-3	ICD-0-3	methods	sample	regulated	function description	pubmed id	year	title	drug	circulating	survival	miR	variant	TF	methylation
ENST00000579363	KRT17P4	NA	ENSG00000205312	NA	GRCh38_17:16847635-16852777	lung squamous cell carcinoma	C34	M8070/3	microarray, qPCR etc.	LSCC tissues	down-regulated	Five lncRNAs (ENST00000584612, ENST00000579363, NR_038200, ENST00000466677 and ENST00000562112) were randomly selected to validate the microarray consistency by using qPCR. The results demonstrated that lncRNA ENST00000584612 and ENST00000579363 were downregulated and that NR_038200, ENST00000466677 and ENST00000562112 were upregulated in the PR samples compared with PD samples.	25250788	2014	Long noncoding RNAs expression patterns associated with chemo response to cisplatin based chemotherapy in lung squamous cell carcinoma patients.	Cisplatin 	0	0	0	0	0	0
ENST00000584612	NA	NA	NA	NA	NA	lung squamous cell carcinoma	C34	M8070/3	microarray, qPCR etc.	LSCC tissues	down-regulated	Five lncRNAs (ENST00000584612, ENST00000579363, NR_038200, ENST00000466677 and ENST00000562112) were randomly selected to validate the microarray consistency by using qPCR. The results demonstrated that lncRNA ENST00000584612 and ENST00000579363 were downregulated and that NR_038200, ENST00000466677 and ENST00000562112 were upregulated in the PR samples compared with PD samples.	25250788	2014	Long noncoding RNAs expression patterns associated with chemo response to cisplatin based chemotherapy in lung squamous cell carcinoma patients.	Cisplatin 	0	0	0	0	0	0
ENST00000596492	CD22, SIGLEC-2, SIGLEC2	933	ENSG00000012124	NA	GRCh38_19:35319261-35347355	glioblastoma multiforme	NA	M9440/3	microarray, qPCR etc.	GBM tissues	down-regulated	Next, we analyzed nine lncRNAs and their adjacent mRNAs levels to explore whether differently expressed lncRNAs in GBM affected the expressions of nearby coding genes. Analysis by qRT-PCR showed that four mRNAs adjacent to the increased lncRNAs were up-regulated, while five mRNAs adjacent to the decreased lncRNAs were down-regulated in GBM. 	27604987	2016	LncRNA and mRNA expression profiles of glioblastoma multiforme (GBM) reveal the potential roles of lncRNAs in GBM pathogenesis.	0	0	0	0	0	0	0
ENST01108	NA	NA	NA	NA	NA	glioma	NA	M9380/3	qPCR, Western blot, Luciferase reporter assay etc.	cell lines (U251 and U87), glioma tissues	up-regulated	lncRNA ENST01108 (ENST01108) has oncogenic role in glioma. Clinical data suggest that ENST01108 is closely associated with the malignant status in glioma. In vitro experiment demonstrated that overexpression of ENST01108 promoted glioma cell proliferation, migration, invasion, EMT process and survival, while knockdown of ENST01108 has an opposite effect,indicating that ENST01108 serves as an oncogenic property in glioma carcinogenesis.Further, we identified miR-489 as a direct target of ENST01108 and ENST01108 negatively regulate miR-489 by act as a sponge. SIK1 is verified as the direct target of miR-489 and it is negatively regulated by miR-489. ENST01108 also positively regulate SIKI and it promotes SIKI expression by suppressing miR-489. Taken together, the reciprocal repression of ENST011081 and miR-489 may be served as potential targets for cancer therapeutics in glioma. 	29421578	2018	Long non-coding RNA ENST01108 promotes carcinogenesis of glioma by acting as a molecular sponge to modulate miR-489.  	1	0	1	1	0	0	0
ENST457720	NA	NA	NA	NA	NA	non small cell lung cancer	C34	M8046/3	Microarray, qRT-PCR, Western blot, in vitro knockdown	NSCLC cell lines (NCI-H1975 (EGFR mutations: L858R+T790M), A549 (wild-type EGFR) and SK-MES- 3 1 (exon 19 deletion+T790M))	up-regulated	Higher ENST457720 expression was associated with larger tumor sizes, lymph node metastasis and advanced TNM stage.ENST457720 silencing suppressed NSCLC cell proliferation in vitro and in vivo. Moreover, ENST457720 knockdown inhibited NSCLC invasion and reversed the epithelial-to-mesenchymal transition. ENST457720 promoted NSCLC proliferation and invasion, which may be a novel potential therapeutic target for NSCLC.	29495976	2018	Knockdown of Long noncoding RNA ENST457720 inhibits proliferation of non-small cell lung cancer cells in vitro and in vivo.	0	0	0	0	0	0	0
EPB41L4A-AS2	NA	NA	ENSG00000278921	NA	GRCh38_5:112419583-112420978	head and neck squamous cell carcinoma	C76.0	M8070/3	RNA-seq, Microarray, qPCR,Western blot	NPC cell line (CNE1)	down-regulated	The relationship of EPB41L4A-AS2 with the clinicopathological features and prognosis of HNSCC patients was evaluated.EPB41L4A-AS2 may be involved in processes associated with the tumor-associated signaling pathway, especially the TGF-B signaling pathway. Low EPB41L4A-AS2 expression was determined,and overexpression of this gene inhibited cell migration and invasion in the EMT model. Moreover, EPB41L4A-AS2 suppressed TGFBR1 expression.A major mechanism of lncRNAs in regulating gene expression involves the interaction with Polycomb repressive complex 2 (PRC2), which catalyzes the trimethylation of histone H3 lysine 27 (H3K27me3) to repress the transcription of specific genes. Considering that the promoter region of TGFBR1 is rich in methylation, we hypothesized that EPB41L4A-AS2 plays a role in inducing the methylation of the TGFBR1 promoter. Competing endogenous RNA (ceRNA) is currently under intense study as a novel mechanism for lncRNA functions, which indicates that RNA transcripts communicate with one another by miRNA response elements. 	29490660	2018	Identification and validation a TGF-B-associated long non-coding RNA of head and neck squamous cell carcinoma by bioinformatics method.	0	0	1	0	0	0	1
EPB41L4A-AS2	NA	NA	ENSG00000278921	NA	GRCh38_5:112419583-112420978	breast cancer	C50	NA	qPCR, Flow cytometry assay etc.	cell lines (MDA-MB-231, A549 and 786-O)	down-regulated	we investigated the expression of EPB41L4A-AS2 in breast cancer tissues and evaluated its relationship with the clinicopathological features and prognosis of patients with breast cancer. This entailed conducting a meta-analysis and prognosis validation study using two cohorts from the Gene Expression Omnibus (GEO). In addition, we assessed EPB41L4A-AS2 expression and its relationship with the clinicopathological features of renal and lung cancers using the Cancer Genome Atlas cohort and a GEO dataset. We also clarified the role of EPB41L4A-AS2 expression in mediating cancer cell proliferation in breast, renal, and lung cancer cell lines transfected with an EPB41L4A-AS2 expression vector. We found that high EPB41L4A-AS2 expression is associated with favorable disease outcomes. Gene ontology enrichment analysis revealed that EPB41L4A-AS2 may be involved in processes associated with tumor biology. Finally, overexpression of EPB41L4A-AS2 inhibited tumor cell proliferation in breast, renal, and lung cancer cell lines	26980733	2016	The long non-coding RNA EPB41L4A-AS2 inhibits tumor proliferation and is associated with favorable prognoses in breast cancer and other solid tumors	0	0	1	0	0	0	0
EPEL	NA	NA	NA	NR_027107	GRCh38_4:182138658-182144515	lung cancer	C34	NA	RNA-seq, Microarray,RIP, qPCR	cell lines (A549,NCI-H1299)	up-regulated	EPEL,known as LOC90768 and MGC45800, was associated with the relapse and survival of lung cancer patients and promoted lung cancer cell proliferation through the activation of E2F target genes. EPEL knockdown specifically down-regulated the expression of cell cyclerelated E2F target genes, including Cyclin B1 (CCNB1), in lung cancer cells but not that of apoptosis- or metabolism-related E2F target genes. EPEL interacted with E2F1 and regulated the expression of the E2F target genes by changing the binding efficiency of E2F1 to the E2F target promoters. Moreover, the expression levels of EPEL and CCNB1 both alone and in combination were robust prognostic markers for lung cancer.	29448242	2018	The LncRNA EPEL Promotes Lung Cancer Cell Proliferation Through E2F Target Activation	0	0	1	0	0	0	0
EPIC1	NA	NA	NA	NA	NA	breast cancer	C50	NA	qPCR, Western blot, in vitro knockdown, RIP etc.	cell lines (MCF10A,BT-20,BT-474,HCC1937,Hs578T,MDA-MB-231,MDA-MB-361,MDA-MB-468,MCF-7,T-47D,ZR-75-1,A2780,A2780cis,IGR-OV-1NIH:OVCAR-3,OVCAR-4,OVCAR-8,SK-OV-3), breast cancer tissues	up-regulated	Overexpression of EPIC1 is associated with poor prognosis in luminal B breast cancer patients and enhances tumor growth in vitro  and in vivo. Mechanistically, EPIC1 promotes cell-cycle progression by interacting with MYC through EPIC1's 129-283 nt region. EPIC1 knockdown reduces the occupancy of MYC to its target genes (e.g., CDKN1A, CCNA2, CDC20, and CDC45). MYC depletion abolishes EPIC1's regulation of MYC target and luminal breast cancer tumorigenesis in vitro and in vivo. 	29622465	2018	lncRNA Epigenetic Landscape Analysis Identifies EPIC1 as an Oncogenic lncRNA that Interacts with MYC and Promotes Cell-Cycle Progression in Cancer.	0	0	1	0	0	0	0
ERIC	ERICD, ERIC, LINC01130, TCONS_00014875	104355217	ENSG00000280303	NA	GRCh38_8:140636281-140638283	osteosarcoma	NA	M9180/3	RNA-seq, qPCR, RNAi, Western blot, ChIP etc.	cell lines (U2OS and SAOS-2)	up-regulated	We show that expression levels of ERIC were elevated upon activation of exogenous E2F1, E2F3 or endogenous E2Fs. Moreover, knockdown of either E2F1 or E2F3 reduced ERIC levels and endogenous E2F1 binds ERIC's promoter. Expression of ERIC was cell cycle regulated and peaked in G1 in an E2F1-dependent manner. Inhibition of ERIC expression increased E2F1-mediated apoptosis, suggesting that E2F1 and ERIC constitute a negative feedback loop that modulates E2F1 activity. Furthermore, ERIC levels were increased following DNA damage by the chemotherapeutic drug Etoposide, and inhibition of ERIC expression enhanced Etoposide -induced apoptosis.	24168400	2013	The long non-coding RNA ERIC is regulated by E2F and modulates the cellular response to DNA damage.	Etoposide	0	0	0	0	1	0
ERICH1-AS1	DLGAP2, C8orf68, DAP2, ERICH1-AS1, SAPAP2	9228	ENSG00000198010	NA	GRCh38_8:737596-1708474	non small cell lung cancer	C34	M8046/3	microarray, qPCR etc.	NSCLC tissues	up-regulated	We discovered that three lncRNAs (RP11-397D12.4, AC007403.1, and ERICH1-AS1) were up regulated in NSCLC, compared with cancer-free controls. RP11-397D12.4, AC007403.1, and ERICH1-AS1 may be potential biomarkers for predicting the tumorigenesis of NSCLC in the future.	26393913	2015	Three circulating long non-coding RNAs act as biomarkers for predicting NSCLC.	0	1	0	0	0	0	0
ESCCAL-5	NA	NA	NA	NA	NA	esophageal squamous cell cancer	NA	NA	microarray, qPCR etc.	ESCC tissues	up-regulated	The increased and differential expression of HOTAIR, ESCCAL-1 and ESCCAL-5 in ESCC tissue relative to adjacent nonneoplastic tissue was independently assessed with PCR methods in matched-pair tissue samples from three additional ESCC patients and the results are consistent with the microarray analysis. 	24222893	2013	Integrated analysis of long noncoding RNA and coding RNA expression in esophageal squamous cell carcinoma.	0	0	0	0	0	0	0
ESRPS-AS	1810019D21Rik	NA	NA	NA	NA	breast cancer	C50	NA	qPCR, RNA-seq, western blot etc.	cell lines (M28N2, M27H4, M6, M6C)	up-regulated	ESRPs were shown previously to have a dual role in carcinogenesis. Both gain and loss have been associated with poor prognosis in human cancers, but the mechanisms regulating expression are not known. Indepth analyses indicate that coordinate overexpression of Esrp2 and Esrp2-as inversely correlates with DNA methylation. Using the Kaplan–Meier plotter survival analysis tool,we could confirm that high ESRP2 mRNA levels reduce the fraction of relapse-free survival, overall survival, and distant metastasis-free survival of breast cancer cases analyzed together or when cases were subdivided into breast cancer subtypes.	28759043	2017	Genome-wide screen for differentially methylated long noncoding RNAs identifies Esrp2 and lncRNA Esrp2-as regulated by enhancer DNA methylation with prognostic relevance for human breast cancer	0	0	1	0	0	0	1
EVI1	MECOM, AML1-EVI-1, EVI1, KMT8E, MDS1, MDS1-EVI1, PRDM3, RUSAT2	2122	ENSG00000085276	NA	GRCh38_3:169083499-169663618	hepatocellular carcinoma	C22.0	M8170/3	qPCR, Western blot, Luciferase reporter assay etc.	HCC tissues	up-regulated	Our findings suggest that EVI1 is frequently up-regulated and regulates a cluster of lncRNAs in HBV-related hepatocellular carcinoma (HCC). These findings highlight a novel mechanism for HBx-induced hepatocarcinogenesis through transcription factor EVI1 and its target lncRNAs, and provide a potential new approach to predict the functions of lncRNAs	26967394	2016	EVI1 promotes cell proliferation in HBx-induced hepatocarcinogenesis as a critical transcription factor regulating lncRNAs	0	0	0	0	0	1	0
EWSAT1	EWSAT1, LINC00277, NCRNA00277, TMEM84	283673	ENSG00000212766	NR_026949	GRCh38_15:69072926-69095820	Ewing sarcoma	NA	M9260/3	microarray, qPCR, Western blot, RIP etc.	cell lines (pMPCs, PSS090 and TC71)	up-regulated	Expression of EWS-FLI1 and EWSAT1 repressed gene expression, and a substantial fraction of targets that were repressed by EWS-FLI1 were also repressed by EWSAT1. Analysis of RNAseq data from primary human Ewing sarcoma further supported a role for EWSAT1 in mediating gene repression. We identified heterogeneous nuclear ribonucleoprotein (HNRNPK) as an RNA-binding protein that interacts with EWSAT1 and found a marked overlap in HNRNPK-repressed genes and those repressed by EWS-FLI1 and EWSAT1, suggesting that HNRNPK participates in EWSAT1-mediated gene repression.	25401475	2014	Long noncoding RNA EWSAT1-mediated gene repression facilitates Ewing sarcoma oncogenesis	0	0	0	0	0	1	0
EWSAT1	EWSAT1, LINC00277, NCRNA00277, TMEM84	283673	ENSG00000212766	NR_026949	GRCh38_15:69072926-69095820	nasopharyngeal cancer	C11	NA	qPCR, Cell transfection, Western blot, Luciferase reporter assay, RNA pull-down assay etc.	NPC tissues, cell lines (SUNE-1, CNE-1, HNE-1, CNE-2, C666-1 and HONE-1)	up-regulated	Herein, we identified that EWSAT1 was up-regulated in NPC tissues and cell lines, and higher expression of EWSAT1 resulted in a markedly poorer survival time. EWSAT1 over-expression facilitated, while EWSAT1 silencing impaired cell growth in NPC. In addition, mechanistic analysis demonstrated that EWSAT1 up-regulated the expression of miR-326/330-5p clusters targeted gene cyclin D1 through acting as a competitive 'sponge' of miR-326/330-5p clusters. 	27816050	2016	Long non-coding RNA EWSAT1 promotes human nasopharyngeal carcinoma cell growth in vitro by targeting miR-326/-330-5p.	0	0	1	1	0	0	0
EWSAT1	EWSAT1, LINC00277, NCRNA00277, TMEM84	283673	ENSG00000212766	NR_026949	GRCh38_15:69072926-69095820	osteosarcoma	NA	M9180/3	qPCR	osteosarcoma tissues	up-regulated	EWSAT1 levels were significantly higher in osteosarcoma tissues compared with matched non-cancerous tissues. The level of EWSAT1 expression was significantly associated with clinical stage and distant metastasis.high EWSAT1 expression level was associated with poorer OS and DFS. EWSAT1 expression was an independent prognostic factor for both OS and DFS in osteosarcoma patients 	29243774	2017	Clinical significance of long non-coding RNA EWSAT1 as a novel prognostic biomarker in osteosarcoma.	0	0	1	0	0	0	0
